rest,wagelaw,after,branch,pmeal,wage_st,emptot,co_owned
188,1,1,bk,2.99,5.05,29.0,0
189,1,1,kfc,,,10.0,0
190,1,1,kfc,4.74,5.05,9.5,0
191,1,1,roys,4.61,5.05,17.5,0
192,1,1,roys,3.06,5.05,17.5,1
193,1,1,wendys,,5.05,25.0,0
194,1,1,bk,2.56,5.05,26.0,0
195,1,1,bk,3.21,5.05,24.0,1
196,1,1,bk,2.9499998,5.05,22.5,0
197,1,1,bk,,5.05,,0
198,1,1,bk,2.9499998,5.05,35.0,0
199,1,1,bk,3.5900002,5.05,17.75,0
200,1,1,bk,2.9499998,5.05,24.5,0
201,1,1,bk,3.27,5.05,16.5,0
202,1,1,bk,3.01,5.05,30.0,0
203,1,1,bk,2.9499998,5.05,39.0,0
204,1,1,kfc,4.5299997,5.05,17.0,0
205,1,1,kfc,5.0699997,5.05,12.5,0
206,1,1,roys,3.2199998,5.05,38.5,1
207,1,1,roys,3.2199998,5.05,20.0,1
208,1,1,wendys,3.0900002,5.05,21.0,0
209,1,1,bk,2.8899999,5.05,32.0,0
210,1,1,bk,3.1399999,5.05,19.0,0
211,1,1,bk,3.03,5.05,20.0,0
212,1,1,bk,2.86,5.05,26.5,0
213,1,1,bk,3.21,5.05,19.0,1
214,1,1,bk,3.17,5.05,20.0,1
215,1,1,bk,3.21,5.05,22.5,1
216,1,1,kfc,4.33,5.05,10.0,0
217,1,1,kfc,4.58,5.05,12.5,0
218,1,1,kfc,4.39,5.05,11.0,0
219,1,1,kfc,4.48,5.05,12.5,0
220,1,1,roys,4.71,5.05,59.0,1
221,1,1,roys,3.3,5.05,19.0,0
222,1,1,roys,3.13,5.05,15.5,0
223,1,1,wendys,2.78,5.05,19.0,0
224,1,1,bk,3.1999998,5.05,26.5,0
225,1,1,bk,2.9499998,5.05,17.5,0
226,1,1,bk,,5.05,20.5,1
227,1,1,bk,3.44,5.05,28.0,0
228,1,1,roys,3.32,5.05,30.25,0
229,1,1,bk,2.99,5.25,44.0,0
230,1,1,bk,3.01,5.05,17.5,0
231,1,1,bk,3.55,5.05,31.0,0
232,1,1,bk,2.99,5.05,31.0,0
233,1,1,bk,2.8899999,5.05,28.5,0
234,1,1,bk,3.1499999,5.05,19.0,1
235,1,1,bk,3.24,5.05,41.0,0
236,1,1,bk,3.22,5.05,28.0,0
237,1,1,kfc,4.51,5.05,9.5,0
238,1,1,roys,3.2199998,5.05,25.0,1
239,1,1,roys,,5.5,28.0,1
240,1,1,roys,4.2799997,5.05,16.0,1
241,1,1,roys,3.11,5.05,22.75,0
242,1,1,roys,,,,1
243,1,1,roys,3.27,5.05,32.0,1
244,1,1,wendys,2.99,5.67,27.5,0
245,1,1,wendys,3.23,5.05,25.5,0
246,1,1,wendys,3.1599998,5.05,60.5,0
247,1,1,bk,3.09,5.05,20.5,0
248,1,1,bk,2.9299998,5.05,16.0,0
249,1,1,bk,2.87,5.75,25.0,0
250,1,1,bk,2.9,5.05,13.0,0
251,1,1,kfc,4.38,5.05,9.0,0
252,1,1,kfc,4.2799997,5.25,16.5,0
253,1,1,roys,3.17,5.05,21.0,1
254,1,1,wendys,3.21,5.05,21.5,0
255,1,1,bk,3.2,5.25,20.0,0
256,1,1,bk,3.25,5.05,21.25,1
257,1,1,bk,3.17,5.05,21.5,0
258,1,1,bk,3.03,5.05,31.0,0
259,1,1,bk,2.9299998,5.05,33.0,0
260,1,1,bk,,5.05,37.75,0
261,1,1,kfc,4.59,5.05,9.0,1
262,1,1,kfc,4.27,5.05,11.0,0
263,1,1,kfc,4.95,5.05,12.75,0
264,1,1,kfc,4.7799997,5.05,10.5,0
265,1,1,kfc,4.8,5.05,22.0,0
266,1,1,kfc,4.8,5.05,8.0,0
267,1,1,roys,3.1799998,5.05,25.0,0
268,1,1,roys,3.2199998,5.05,12.5,0
269,1,1,wendys,3.1499999,5.25,22.5,0
270,1,1,wendys,3.17,5.05,11.5,0
271,1,1,wendys,3.8899999,5.05,23.5,0
272,1,1,bk,2.9299998,5.05,30.0,0
273,1,1,kfc,4.26,5.05,16.5,0
274,1,1,bk,2.97,5.05,29.0,0
275,1,1,bk,2.9499998,5.05,30.0,0
276,1,1,bk,2.74,5.05,22.5,0
277,1,1,bk,2.9499998,5.05,24.0,0
278,1,1,bk,3.09,5.05,21.75,0
279,1,1,kfc,4.21,5.2,13.5,1
280,1,1,roys,3.1699998,5.05,24.0,1
281,1,1,roys,3.2199998,5.05,28.5,1
282,1,1,wendys,,5.05,10.0,1
283,1,1,bk,,5.05,23.5,0
284,1,1,bk,2.8799999,5.05,30.5,0
285,1,1,bk,2.9299998,5.05,24.75,1
286,1,1,bk,2.9299998,5.05,22.5,0
287,1,1,bk,2.7,5.05,28.0,0
288,1,1,kfc,4.74,5.05,14.0,0
289,1,1,kfc,3.99,5.05,9.0,1
290,1,1,kfc,3.8700001,5.05,9.5,1
291,1,1,kfc,4.2,5.05,15.5,1
292,1,1,kfc,4.74,5.05,12.0,0
293,1,1,kfc,4.52,5.05,11.5,0
294,1,1,roys,2.9099998,5.05,12.5,1
295,1,1,roys,2.96,5.05,16.0,1
296,1,1,roys,2.96,5.05,28.5,1
297,1,1,wendys,2.79,5.3,15.0,0
298,1,1,wendys,2.73,5.05,23.5,0
299,1,1,bk,2.8899999,5.5,30.5,0
300,1,1,bk,2.9299998,5.05,26.5,0
301,1,1,bk,2.9499998,5.05,27.0,0
302,1,1,bk,2.9299998,5.05,21.5,0
303,1,1,bk,3.25,5.05,,0
304,1,1,bk,2.88,5.05,21.5,0
305,1,1,kfc,4.42,5.05,37.5,1
306,1,1,kfc,4.21,5.05,11.5,0
307,1,1,roys,3.2199998,5.05,21.0,1
308,1,1,roys,3.28,5.05,28.0,1
309,1,1,wendys,4.27,5.05,24.0,0
310,1,1,wendys,4.35,5.05,23.0,0
311,1,1,bk,2.96,5.05,19.0,0
312,1,1,kfc,4.3,5.05,7.0,1
313,1,1,roys,4.62,5.05,14.0,1
314,1,1,bk,,,,0
315,1,1,bk,2.8600001,5.05,32.0,0
316,1,1,bk,2.96,5.05,22.0,1
317,1,1,bk,2.97,5.05,14.25,0
318,1,1,bk,3.1,5.05,16.5,0
319,1,1,bk,,,0.0,0
320,1,1,bk,2.84,5.05,47.5,0
321,1,1,kfc,3.99,5.05,15.5,1
322,1,1,kfc,4.0099998,5.05,10.5,1
323,1,1,kfc,3.99,5.05,7.0,1
324,1,1,kfc,3.99,5.05,11.0,1
325,1,1,kfc,4.0,5.05,8.5,1
326,1,1,roys,,,0.0,1
327,1,1,roys,2.96,5.05,15.0,1
328,1,1,roys,3.03,5.05,13.5,1
329,1,1,roys,2.97,5.05,12.5,1
330,1,1,roys,2.96,5.05,12.5,1
331,1,1,roys,2.9099998,5.05,12.5,1
332,1,1,roys,4.02,5.05,10.0,1
333,1,1,wendys,2.79,5.05,13.5,0
334,1,1,wendys,2.79,5.1,16.0,0
335,1,1,wendys,4.53,5.05,23.5,0
336,1,1,bk,2.9299998,5.05,,0
337,1,1,bk,2.97,5.05,34.0,1
338,1,1,roys,3.1499999,5.05,32.5,1
339,1,1,roys,3.7399998,5.05,21.5,0
340,1,1,roys,3.73,5.05,20.0,1
341,1,1,roys,,5.2,43.5,1
342,1,1,wendys,3.9299998,5.05,17.5,0
343,1,1,bk,3.33,5.05,7.0,0
344,1,1,bk,2.9,5.05,,0
345,1,1,bk,2.73,5.25,22.0,0
346,1,1,bk,2.9299998,5.05,22.0,1
347,1,1,bk,3.36,5.05,7.0,0
348,1,1,kfc,4.65,5.05,14.0,0
349,1,1,kfc,4.28,5.05,27.0,0
350,1,1,roys,2.9099998,5.05,18.5,1
351,1,1,roys,3.04,5.05,11.5,1
352,1,1,bk,2.78,5.05,16.0,0
353,1,1,bk,2.94,5.05,25.0,0
354,1,1,bk,,5.05,30.5,1
355,1,1,bk,2.85,5.05,11.5,1
356,1,1,bk,2.73,5.05,25.5,0
357,1,1,kfc,4.06,5.05,9.5,1
358,1,1,kfc,4.12,5.05,11.5,1
359,1,1,kfc,,,12.0,1
360,1,1,roys,,,0.0,1
361,1,1,roys,2.9099998,5.05,17.0,1
362,1,1,roys,2.75,5.05,24.0,1
363,1,1,roys,2.79,,,1
364,1,1,roys,2.9099998,5.05,,1
365,1,1,wendys,2.74,,13.5,0
366,1,1,bk,2.74,5.05,17.0,1
367,1,1,bk,2.74,5.05,28.0,0
368,1,1,bk,2.75,5.05,21.5,0
369,1,1,kfc,4.32,5.05,30.0,0
370,1,1,kfc,4.2400002,5.2,19.5,0
371,1,1,kfc,4.32,5.05,20.0,0
372,1,1,roys,2.54,5.05,14.5,0
373,1,1,wendys,2.8,5.05,14.5,0
374,1,1,bk,,,0.0,1
375,1,1,bk,,5.05,31.5,0
376,1,1,bk,3.27,5.05,11.5,0
377,1,1,bk,2.94,5.05,20.0,0
378,1,1,bk,3.1799998,5.05,34.0,0
379,1,1,bk,2.9299998,5.05,25.0,0
380,1,1,bk,3.2199998,5.05,10.0,0
381,1,1,bk,2.9899998,5.05,18.0,0
382,1,1,bk,2.79,5.05,25.0,0
383,1,1,bk,2.9499998,5.05,23.0,0
384,1,1,kfc,4.74,5.05,17.5,0
385,1,1,kfc,5.17,5.25,23.0,1
386,1,1,roys,3.21,5.4,26.0,1
387,1,1,roys,4.3399997,5.05,16.5,1
388,1,1,roys,3.2199998,5.05,35.5,1
389,1,1,roys,3.3899999,5.05,31.0,1
390,1,1,roys,3.23,5.05,23.0,1
391,1,1,roys,3.2199998,5.05,22.5,0
392,1,1,roys,3.21,5.05,21.5,1
393,1,1,roys,3.1799998,5.05,12.0,1
394,1,1,bk,3.18,5.05,20.5,0
395,1,1,bk,3.17,5.05,25.0,0
396,1,1,kfc,4.84,5.05,8.5,0
397,1,1,bk,3.17,5.05,13.0,0
398,1,1,bk,3.23,5.05,21.5,0
399,1,1,bk,2.9899998,5.05,23.0,0
400,1,1,bk,3.2,5.05,25.5,1
401,1,1,bk,2.52,5.05,21.5,0
402,1,1,kfc,4.42,5.05,9.5,1
403,1,1,kfc,4.21,5.05,36.5,1
404,1,1,kfc,4.17,5.05,16.0,0
405,1,1,kfc,4.21,5.25,23.75,1
406,1,1,kfc,4.31,5.25,17.5,1
407,1,1,roys,3.21,5.05,20.5,1
408,1,1,wendys,4.27,5.05,20.5,0
409,1,1,wendys,4.0499997,5.14,25.0,0

